Date,Time,Weekday,Weekday_Name,UTC_Time,Volume,Open,High,Low,Close,O-H,O-L,O-C,H-L,H-C,L-C,Direction
2018-06-26,21:00:00,1,Tuesday,2018-06-26T21:00:00.000000000Z,7364,1.32993,1.3311,1.32932,1.33037,-0.0011699999999998933,0.0006099999999999994,-0.00043999999999999595,0.0017799999999998928,0.0007299999999998974,-0.0010499999999999954,UP
2018-06-27,01:00:00,2,Wednesday,2018-06-27T01:00:00.000000000Z,12971,1.33036,1.33249,1.33002,1.3315,-0.0021299999999999653,0.00034000000000000696,-0.0011399999999999189,0.0024699999999999722,0.0009900000000000464,-0.0014799999999999258,UP
2018-06-27,05:00:00,2,Wednesday,2018-06-27T05:00:00.000000000Z,17051,1.3315,1.33255,1.33,1.3321,-0.0010499999999999954,0.0014999999999998348,-0.000600000000000156,0.00254999999999983,0.0004499999999998394,-0.0020999999999999908,UP
2018-06-27,09:00:00,2,Wednesday,2018-06-27T09:00:00.000000000Z,24875,1.33209,1.33232,1.32819,1.3307,-0.00022999999999995246,0.0039000000000000146,0.0013900000000000023,0.004129999999999967,0.0016199999999999548,-0.0025100000000000122,DOWN
2018-06-27,13:00:00,2,Wednesday,2018-06-27T13:00:00.000000000Z,30159,1.3307,1.3313,1.32762,1.33105,-0.0005999999999999339,0.0030799999999999716,-0.0003500000000000725,0.0036799999999999056,0.00024999999999986144,-0.003430000000000044,UP
2018-06-27,17:00:00,2,Wednesday,2018-06-27T17:00:00.000000000Z,31020,1.33106,1.33858,1.32799,1.33358,-0.007520000000000193,0.003069999999999906,-0.0025200000000000777,0.0105900000000001,0.0050000000000001155,-0.005589999999999984,UP
2018-06-27,21:00:00,2,Wednesday,2018-06-27T21:00:00.000000000Z,7146,1.33355,1.33388,1.33241,1.33298,-0.00032999999999994145,0.0011399999999999189,0.0005699999999999594,0.0014699999999998603,0.0008999999999999009,-0.0005699999999999594,DOWN
2018-06-28,01:00:00,3,Thursday,2018-06-28T01:00:00.000000000Z,9784,1.33296,1.33368,1.33238,1.33325,-0.0007200000000000539,0.0005800000000000249,-0.0002900000000001235,0.0013000000000000789,0.00042999999999993044,-0.0008700000000001484,UP
2018-06-28,05:00:00,3,Thursday,2018-06-28T05:00:00.000000000Z,18327,1.33324,1.33507,1.33228,1.33365,-0.0018299999999999983,0.0009600000000000719,-0.00041000000000002146,0.00279000000000007,0.0014199999999999768,-0.0013700000000000934,UP
2018-06-28,09:00:00,3,Thursday,2018-06-28T09:00:00.000000000Z,21238,1.33365,1.33397,1.32732,1.32999,-0.000320000000000098,0.006329999999999947,0.0036599999999999966,0.006650000000000045,0.003980000000000095,-0.00266999999999995,DOWN
2018-06-28,13:00:00,3,Thursday,2018-06-28T13:00:00.000000000Z,36100,1.32995,1.33112,1.324,1.3253,-0.0011700000000001154,0.0059499999999999,0.004650000000000043,0.007120000000000015,0.005820000000000158,-0.0012999999999998568,DOWN
2018-06-28,17:00:00,3,Thursday,2018-06-28T17:00:00.000000000Z,16393,1.32529,1.32755,1.32445,1.32509,-0.0022599999999999287,0.0008400000000001739,0.00019999999999997797,0.0031000000000001027,0.0024599999999999067,-0.000640000000000196,DOWN
2018-06-28,21:00:00,3,Thursday,2018-06-28T21:00:00.000000000Z,6900,1.32515,1.32597,1.32473,1.32587,-0.0008200000000000429,0.00042000000000008697,-0.0007200000000000539,0.0012400000000001299,9.999999999998899e-05,-0.001140000000000141,UP
2018-06-29,01:00:00,4,Friday,2018-06-29T01:00:00.000000000Z,21144,1.32587,1.32684,1.32199,1.3226,-0.0009699999999999154,0.0038800000000001056,0.003270000000000106,0.004850000000000021,0.0042400000000000215,-0.0006099999999999994,DOWN
2018-06-29,05:00:00,4,Friday,2018-06-29T05:00:00.000000000Z,19337,1.32261,1.32302,1.32095,1.32202,-0.00041000000000002146,0.0016599999999999948,0.0005900000000000905,0.0020700000000000163,0.001000000000000112,-0.0010699999999999044,DOWN
2018-06-29,09:00:00,4,Friday,2018-06-29T09:00:00.000000000Z,25896,1.32203,1.32668,1.31986,1.32192,-0.004650000000000043,0.0021700000000000053,0.0001100000000000545,0.006820000000000048,0.0047600000000000975,-0.0020599999999999508,DOWN
2018-06-29,13:00:00,4,Friday,2018-06-29T13:00:00.000000000Z,39334,1.32194,1.32194,1.31308,1.31449,0.0,0.008859999999999868,0.007449999999999957,0.008859999999999868,0.007449999999999957,-0.0014099999999999113,DOWN
2018-06-29,17:00:00,4,Friday,2018-06-29T17:00:00.000000000Z,17029,1.31446,1.3161,1.31268,1.31268,-0.0016400000000000858,0.0017799999999998928,0.0017799999999998928,0.0034199999999999786,0.0034199999999999786,0.0,DOWN
