Date,Time,Weekday,Weekday_Name,UTC_Time,Volume,Open,High,Low,Close,O-H,O-L,O-C,H-L,H-C,L-C,Direction
2018-06-20,09:00:00,2,Wednesday,2018-06-20T09:00:00.000000000Z,11618,1.1557,1.15964,1.15557,1.1593,-0.003940000000000055,0.00012999999999996348,-0.0036000000000000476,0.004070000000000018,0.00034000000000000696,-0.003730000000000011,UP
2018-06-20,13:00:00,2,Wednesday,2018-06-20T13:00:00.000000000Z,18914,1.15931,1.15996,1.15656,1.15886,-0.0006500000000000394,0.00275000000000003,0.00045000000000006146,0.0034000000000000696,0.001100000000000101,-0.0022999999999999687,DOWN
2018-06-20,17:00:00,2,Wednesday,2018-06-20T17:00:00.000000000Z,5398,1.15887,1.1595,1.1573,1.15737,-0.0006299999999999084,0.0015700000000000713,0.0015000000000000568,0.0021999999999999797,0.0021299999999999653,-7.00000000000145e-05,DOWN
2018-06-20,21:00:00,2,Wednesday,2018-06-20T21:00:00.000000000Z,4452,1.157,1.15794,1.1568200000000002,1.15763,-0.0009399999999999409,0.00017999999999984695,-0.0006299999999999084,0.0011199999999997878,0.00031000000000003247,-0.0008099999999997554,UP
2018-06-21,01:00:00,3,Thursday,2018-06-21T01:00:00.000000000Z,5691,1.15763,1.15763,1.15559,1.1562,0.0,0.0020400000000000418,0.0014300000000000423,0.0020400000000000418,0.0014300000000000423,-0.0006099999999999994,DOWN
2018-06-21,05:00:00,3,Thursday,2018-06-21T05:00:00.000000000Z,21031,1.15619,1.15666,1.15163,1.15188,-0.00046999999999997044,0.0045600000000001195,0.004310000000000036,0.00503000000000009,0.0047800000000000065,-0.0002500000000000835,DOWN
2018-06-21,09:00:00,3,Thursday,2018-06-21T09:00:00.000000000Z,25098,1.1518700000000002,1.16104,1.1507,1.15888,-0.0091699999999999,0.0011700000000001154,-0.007009999999999739,0.010340000000000016,0.002160000000000162,-0.008179999999999854,UP
2018-06-21,13:00:00,3,Thursday,2018-06-21T13:00:00.000000000Z,22012,1.15888,1.16331,1.15746,1.16067,-0.004430000000000156,0.0014199999999999768,-0.0017900000000001803,0.005850000000000133,0.0026399999999999757,-0.003210000000000157,UP
2018-06-21,17:00:00,3,Thursday,2018-06-21T17:00:00.000000000Z,6581,1.1607,1.1628,1.16004,1.16004,-0.0020999999999999908,0.000660000000000105,0.000660000000000105,0.0027600000000000957,0.0027600000000000957,0.0,DOWN
2018-06-21,21:00:00,3,Thursday,2018-06-21T21:00:00.000000000Z,6208,1.16005,1.1617,1.15977,1.16111,-0.0016499999999999293,0.000280000000000058,-0.001060000000000061,0.0019299999999999873,0.0005899999999998684,-0.0013400000000001189,UP
